,species,alpha,ini,cost,success
346,BU,10.0,"[0.45880708337599574, -0.5418456798756592]",2.547108447483179,True
347,BU,10.0,"[0.5843882627776176, -1.1357870449636507]",2.5470589392764245,True
348,BU,10.0,"[1.0375966601709323, -0.05862822091645126]",2.554750357317176,True
349,BU,10.0,"[0.9861037634676985, -0.16199748570724215]",2.547138512523552,True
350,BU,10.0,"[0.3915466579689513, -0.8582867687454152]",2.5483371922001545,True
351,BU,10.0,"[1.1132517660923897, -0.21703947340502916]",2.5471558735540074,True
352,BU,10.0,"[0.24175481539699342, -0.3720994256033143]",2.5483383654682377,True
353,BU,10.0,"[0.17082813259505475, -0.9252519204649086]",2.5482440048441393,True
354,BU,10.0,"[0.0675156939645129, -1.6120946272257766]",2.548214569223451,True
355,BU,10.0,"[1.5864106382073104, -0.6354092235180917]",2.5547611380934434,True
356,BU,10.0,"[1.4697094461617475, -1.7596068149577517]",2.5471249025654994,True
357,BU,10.0,"[1.2750442567855267, -1.0223025429008887]",2.5547502118840772,True
358,BU,10.0,"[0.8018135718648278, -1.888465949387544]",2.5483689939439307,True
359,BU,10.0,"[0.6013374519653201, -1.5685619808430529]",2.547201695839156,True
360,PV,0.001,"[1.751051630467653, -0.7246930423351403]",0.12156047851011685,True
361,PV,0.001,"[1.3458228426760899, -1.2228656005150382]",0.12156047851011631,True
362,PV,0.001,"[1.9871288484875371, -1.3573001326799654]",0.12156047851011607,True
363,PV,0.001,"[1.8944982183940007, -1.9430772432281715]",0.12156047851038757,True
364,PV,0.001,"[1.6422671299097746, -1.4896225341371667]",0.12156047851039398,True
365,PV,0.001,"[0.7543407880094254, -0.41695235121435137]",0.12156047851011684,True
366,PV,0.001,"[0.45880708337599574, -0.5418456798756592]",0.12156047851039681,True
367,PV,0.001,"[0.5843882627776176, -1.1357870449636507]",0.12156047852080153,True
368,PV,0.001,"[1.0375966601709323, -0.05862822091645126]",0.12156047851011635,True
369,PV,0.001,"[0.9861037634676985, -0.16199748570724215]",0.12156047851011836,True
370,PV,0.001,"[0.3915466579689513, -0.8582867687454152]",0.12156047851039897,True
371,PV,0.001,"[1.1132517660923897, -0.21703947340502916]",0.12156047851011685,True
372,PV,0.001,"[0.24175481539699342, -0.3720994256033143]",0.12156047851011532,True
373,PV,0.001,"[0.17082813259505475, -0.9252519204649086]",0.12156047851011727,True
374,PV,0.001,"[0.0675156939645129, -1.6120946272257766]",0.12156047851039765,True
375,PV,0.001,"[1.5864106382073104, -0.6354092235180917]",0.12156047851011671,True
376,PV,0.001,"[1.4697094461617475, -1.7596068149577517]",0.12156047851011771,True
377,PV,0.001,"[1.2750442567855267, -1.0223025429008887]",0.12156047851011756,True
378,PV,0.001,"[0.8018135718648278, -1.888465949387544]",0.12156047851011557,True
379,PV,0.001,"[0.6013374519653201, -1.5685619808430529]",0.12156047851011584,True
380,PV,0.003,"[1.751051630467653, -0.7246930423351403]",0.12495739226017546,True
381,PV,0.003,"[1.3458228426760899, -1.2228656005150382]",0.12495739227090996,True
382,PV,0.003,"[1.9871288484875371, -1.3573001326799654]",0.12495739226043895,True
383,PV,0.003,"[1.8944982183940007, -1.9430772432281715]",0.1249573922601771,True
384,PV,0.003,"[1.6422671299097746, -1.4896225341371667]",0.12495739226017562,True
385,PV,0.003,"[0.7543407880094254, -0.41695235121435137]",0.12495739226017603,True
386,PV,0.003,"[0.45880708337599574, -0.5418456798756592]",0.12495739226044002,True
387,PV,0.003,"[0.5843882627776176, -1.1357870449636507]",0.12495739226017695,True
388,PV,0.003,"[1.0375966601709323, -0.05862822091645126]",0.12495739226043268,True
389,PV,0.003,"[0.9861037634676985, -0.16199748570724215]",0.1249573922601755,True
390,PV,0.003,"[0.3915466579689513, -0.8582867687454152]",0.12495739226017695,True
391,PV,0.003,"[1.1132517660923897, -0.21703947340502916]",0.1249573922604365,True
392,PV,0.003,"[0.24175481539699342, -0.3720994256033143]",0.12495739226017728,True
393,PV,0.003,"[0.17082813259505475, -0.9252519204649086]",0.12495739226017613,True
394,PV,0.003,"[0.0675156939645129, -1.6120946272257766]",0.1249573922601766,True
395,PV,0.003,"[1.5864106382073104, -0.6354092235180917]",0.12495739227085453,True
396,PV,0.003,"[1.4697094461617475, -1.7596068149577517]",0.12495739226017584,True
397,PV,0.003,"[1.2750442567855267, -1.0223025429008887]",0.1249573922604585,True
398,PV,0.003,"[0.8018135718648278, -1.888465949387544]",0.12495739226017663,True
399,PV,0.003,"[0.6013374519653201, -1.5685619808430529]",0.12495739226045433,True
400,PV,0.01,"[1.751051630467653, -0.7246930423351403]",0.13683350971330197,True
401,PV,0.01,"[1.3458228426760899, -1.2228656005150382]",0.13683350971330158,True
402,PV,0.01,"[1.9871288484875371, -1.3573001326799654]",0.1368335097133011,True
403,PV,0.01,"[1.8944982183940007, -1.9430772432281715]",0.13683350971356306,True
404,PV,0.01,"[1.6422671299097746, -1.4896225341371667]",0.13683350972391123,True
405,PV,0.01,"[0.7543407880094254, -0.41695235121435137]",0.13683350971330152,True
406,PV,0.01,"[0.45880708337599574, -0.5418456798756592]",0.13683350971330213,True
407,PV,0.01,"[0.5843882627776176, -1.1357870449636507]",0.13683350972383176,True
408,PV,0.01,"[1.0375966601709323, -0.05862822091645126]",0.13683350971357391,True
409,PV,0.01,"[0.9861037634676985, -0.16199748570724215]",0.13683350971330283,True
410,PV,0.01,"[0.3915466579689513, -0.8582867687454152]",0.13683350972387007,True
411,PV,0.01,"[1.1132517660923897, -0.21703947340502916]",0.13683350971330144,True
412,PV,0.01,"[0.24175481539699342, -0.3720994256033143]",0.1368335097133018,True
413,PV,0.01,"[0.17082813259505475, -0.9252519204649086]",0.13683350971330274,True
414,PV,0.01,"[0.0675156939645129, -1.6120946272257766]",0.1368335097135761,True
415,PV,0.01,"[1.5864106382073104, -0.6354092235180917]",0.13683350971357222,True
416,PV,0.01,"[1.4697094461617475, -1.7596068149577517]",0.13683350971330124,True
417,PV,0.01,"[1.2750442567855267, -1.0223025429008887]",0.13683350971330221,True
418,PV,0.01,"[0.8018135718648278, -1.888465949387544]",0.13683350972389502,True
419,PV,0.01,"[0.6013374519653201, -1.5685619808430529]",0.13683350971330188,True
420,PV,0.03,"[1.751051630467653, -0.7246930423351403]",0.17065455610915004,True
421,PV,0.03,"[1.3458228426760899, -1.2228656005150382]",0.17065455610914998,True
422,PV,0.03,"[1.9871288484875371, -1.3573001326799654]",0.17065455610941482,True
423,PV,0.03,"[1.8944982183940007, -1.9430772432281715]",0.17065455610915004,True
424,PV,0.03,"[1.6422671299097746, -1.4896225341371667]",0.17065455610915212,True
425,PV,0.03,"[0.7543407880094254, -0.41695235121435137]",0.17065455611965397,True
426,PV,0.03,"[0.45880708337599574, -0.5418456798756592]",0.1706545561094021,True
427,PV,0.03,"[0.5843882627776176, -1.1357870449636507]",0.17065455610915145,True
428,PV,0.03,"[1.0375966601709323, -0.05862822091645126]",0.17065455610941713,True
429,PV,0.03,"[0.9861037634676985, -0.16199748570724215]",0.17065455610915184,True
