Time,Sample,Replicate,CD,DP,CA,PC,CS,CH,BU,BT,PV,EL
21,CD_BU,3,0.586270339666,0,0,0,0,0,0.297929660334,0,0,0
28,CD_BU,1,0.381896517918568,0,0,0,0,0,0.301803472081432,0,0,0
28,CD_BU,2,0.369348395976006,0,0,0,0,0,0.301251626023994,0,0,0
28,CD_BU,3,0.447914740264634,0,0,0,0,0,0.251085285735366,0,0,0
35,CD_BU,1,0.42287297432561,0,0,0,0,0,0.17516034967439,0,0,0
35,CD_BU,2,0.34275137453497,0,0,0,0,0,0.29878195546503,0,0,0
35,CD_BU,3,0.356416267305923,0,0,0,0,0,0.259317072694077,0,0,0
1,CD_PV,1,0.60063059955469,0,0,0,0,0,0,0,0.73943602744531,0
1,CD_PV,2,0.617517134709987,0,0,0,0,0,0,0,0.778349572290013,0
1,CD_PV,3,0.603143732653401,0,0,0,0,0,0,0,0.758522902346599,0
7,CD_PV,1,0.567898108704789,0,0,0,0,0,0,0,0.397268584227658,0
7,CD_PV,2,0.628090203353442,0,0,0,0,0,0,0,0.243276481282038,0
7,CD_PV,3,0.457095633259367,0,0,0,0,0,0,0,0.539771074741134,0
14,CD_PV,1,0.375654481001687,0,0,0,0,0,0,0,0.988178851998314,0
14,CD_PV,2,0.392088722875956,0,0,0,0,0,0,0,0.900944610124044,0
14,CD_PV,3,0.265213369112571,0,0,0,0,0,0,0,1.11691996388743,0
21,CD_PV,1,0.883177290766,0,0,0,0,0,0,0,0.212622709234,0
21,CD_PV,2,0.8266660710667,0,0,0,0,0,0,0,0.1916339289333,0
21,CD_PV,3,0.8176865082036,0,0,0,0,0,0,0,0.1805134917964,0
28,CD_PV,1,0.385858145633716,0,0,0,0,0,0,0,0.760641811366285,0
28,CD_PV,2,0.258049929221401,0,0,0,0,0,0,0,0.535850048778599,0
28,CD_PV,3,0.316753285071651,0,0,0,0,0,0,0,0.427646704928349,0
35,CD_PV,1,0.502086535351477,0,0,0,0,0,0,0,0.335046827648523,0
1,CD_CA,1,0.289796675099395,0,0.039469976900605,0,0,0,0,0,0,0
1,CD_CA,2,0.375830443202185,0,0.064236207797815,0,0,0,0,0,0,0
1,CD_CA,3,0.844106303675595,0,0.160960404054698,0,0,0,0,0,0,0
7,CD_CA,1,0.295590440061737,0,0.045076216938263,0,0,0,0,0,0,0
7,CD_CA,3,0.291889350960195,0,0.034377300039805,0,0,0,0,0,0,0
14,CD_CA,1,0.428826272601997,0,0.073307060398003,0,0,0,0,0,0,0
14,CD_CA,3,0.395505124715752,0,0.046428208284248,0,0,0,0,0,0,0
21,CD_CA,1,0.5357439355652,0,0.0496560644348,0,0,0,0,0,0,0
21,CD_CA,3,0.381489534015,0,0.131210465985,0,0,0,0,0,0,0
28,CD_CA,1,0.383979363783676,0,0.032820623216324,0,0,0,0,0,0,0
28,CD_CA,3,0.2926529043649,0,0.0998471036351,0,0,0,0,0,0,0
