Treatments,Time,CA,BT,BU,CD,BV,CS,DP,CH
CH_2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040699999
CH_2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189999993
CH_2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625900025
CH_2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646199996
CH_2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587899978
CH_2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526400025
CH_2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453999991
CH_3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005199994
CH_3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013999994
CH_3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038500006
CH_3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202500011
CH_3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652299995
CH_3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659099991
CH_3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600199992
CH_3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511900003
CH_3,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44099998
CS_1,0,0.0,0.0,0.0,0.0,0.0,0.012900005,0.0,0.0
CS_1,3,0.0,0.0,0.0,0.0,0.0,0.024100001,0.0,0.0
CS_1,6,0.0,0.0,0.0,0.0,0.0,0.056000004,0.0,0.0
CS_1,9,0.0,0.0,0.0,0.0,0.0,0.151300008,0.0,0.0
CS_1,12,0.0,0.0,0.0,0.0,0.0,0.289,0.0,0.0
CS_1,15,0.0,0.0,0.0,0.0,0.0,0.366999979,0.0,0.0
CS_1,18,0.0,0.0,0.0,0.0,0.0,0.403599973,0.0,0.0
CS_1,21,0.0,0.0,0.0,0.0,0.0,0.527299995,0.0,0.0
CS_1,24,0.0,0.0,0.0,0.0,0.0,0.597999985,0.0,0.0
CS_2,0,0.0,0.0,0.0,0.0,0.0,0.012100006,0.0,0.0
CS_2,3,0.0,0.0,0.0,0.0,0.0,0.0223,0.0,0.0
CS_2,6,0.0,0.0,0.0,0.0,0.0,0.050299997,0.0,0.0
CS_2,9,0.0,0.0,0.0,0.0,0.0,0.142000015,0.0,0.0
CS_2,12,0.0,0.0,0.0,0.0,0.0,0.272500003,0.0,0.0
CS_2,15,0.0,0.0,0.0,0.0,0.0,0.385500009,0.0,0.0
CS_2,18,0.0,0.0,0.0,0.0,0.0,0.40729999,0.0,0.0
CS_2,21,0.0,0.0,0.0,0.0,0.0,0.526899988,0.0,0.0
CS_2,24,0.0,0.0,0.0,0.0,0.0,0.612900014,0.0,0.0
CS_3,0,0.0,0.0,0.0,0.0,0.0,0.005900005,0.0,0.0
CS_3,3,0.0,0.0,0.0,0.0,0.0,0.018599997,0.0,0.0
CS_3,6,0.0,0.0,0.0,0.0,0.0,0.050199995,0.0,0.0
CS_3,9,0.0,0.0,0.0,0.0,0.0,0.143299992,0.0,0.0
CS_3,12,0.0,0.0,0.0,0.0,0.0,0.278199996,0.0,0.0
CS_3,15,0.0,0.0,0.0,0.0,0.0,0.365199978,0.0,0.0
CS_3,18,0.0,0.0,0.0,0.0,0.0,0.418300028,0.0,0.0
CS_3,21,0.0,0.0,0.0,0.0,0.0,0.508899982,0.0,0.0
CS_3,24,0.0,0.0,0.0,0.0,0.0,0.622700031,0.0,0.0
DP_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.013600002,0.0
DP_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.026300008,0.0
DP_1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.182599987,0.0
DP_1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.219700004,0.0
DP_1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.320399995,0.0
DP_1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.325500006,0.0
DP_1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.332200016,0.0
DP_1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.311500008,0.0
DP_1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.306800003,0.0
DP_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.010900001,0.0
DP_2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.027499999,0.0
DP_2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.212400014,0.0
DP_2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.312699998,0.0
DP_2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.344900007,0.0
DP_2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.362599994,0.0
DP_2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.368499989,0.0
DP_2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.336899991,0.0
DP_2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.28960001,0.0
DP_3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.014899994,0.0
DP_3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.027700002,0.0
DP_3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.183600004,0.0
DP_3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.244799996,0.0
DP_3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.312099988,0.0
DP_3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.333200003,0.0
DP_3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.339999999,0.0
DP_3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.31569999,0.0
DP_3,24,0.0,0.0,0.0,0.0,0.0,0.0,0.272200013,0.0
CDanc-BT-BU-CA_1,0,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0
CDanc-BT-BU-CA_1,12,0.012433595,0.89187846,0.285230377,0.018557604,0.0,0.0,0.0,0.0
CDanc-BT-BU-CA_1,24,0.0197119,0.864549326,0.299182836,0.062055981,0.0,0.0,0.0,0.0
CDanc-BT-BU-CA_2,0,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0
CDanc-BT-BU-CA_2,12,0.011891074,0.862936353,0.316724869,0.017447651,0.0,0.0,0.0,0.0
CDanc-BT-BU-CA_2,24,0.022561524,0.874758843,0.282733025,0.056546605,0.0,0.0,0.0,0.0
CDanc-BT-BU-CA_3,0,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0
CDanc-BT-BU-CA_3,12,0.012755035,0.871054686,0.299838516,0.018751806,0.0,0.0,0.0,0.0
CDanc-BT-BU-CA_3,24,0.025159413,0.873014047,0.258983611,0.0735429,0.0,0.0,0.0,0.0
CDanc-BT-BV_4,0,0.0,0.003333333,0.0,0.003333333,0.003333333,0.0,0.0,0.0
CDanc-BT-BV_4,24,0.0,0.99326092,0.0,0.243923046,0.057882704,0.0,0.0,0.0
CDanc-BT-BV_5,0,0.0,0.003333333,0.0,0.003333333,0.003333333,0.0,0.0,0.0
CDanc-BT-BV_5,24,0.0,0.982290435,0.0,0.243370002,0.06340619,0.0,0.0,0.0
CDanc-BT-BV_6,0,0.0,0.003333333,0.0,0.003333333,0.003333333,0.0,0.0,0.0
CDanc-BT-BV_6,24,0.0,0.994923867,0.0,0.221231081,0.068111717,0.0,0.0,0.0
CDanc-BT_1,0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0
CDanc-BT_1,12,0.0,1.218282767,0.0,0.02711726,0.0,0.0,0.0,0.0
CDanc-BT_10,0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0
CDanc-BT_10,24,0.0,1.229210743,0.0,0.27095593,0.0,0.0,0.0,0.0
CDanc-BT_11,0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0
CDanc-BT_11,24,0.0,1.317762184,0.0,0.269404471,0.0,0.0,0.0,0.0
CDanc-BT_12,0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0
CDanc-BT_12,24,0.0,1.16956087,0.0,0.382105855,0.0,0.0,0.0,0.0
