Treatments,Time,CD,CA,EL,DP,BU,PV,CDEVO
CD_DP_3,4,0.178410874,0.0,0.0,0.517089142,0.0,0.0,0.0
CD_DP_3,5,0.121727057,0.0,0.0,0.480039619,0.0,0.0,0.0
CD_DP_3,6,0.110170661,0.0,0.0,0.453029358,0.0,0.0,0.0
CD_DP_3,7,0.34388611,0.0,0.0,0.217980546,0.0,0.0,0.0
CD_DP_3,8,0.331266806,0.0,0.0,0.27366652,0.0,0.0,0.0
CD_EL_1,0,0.10999999999999999,0.0,0.10999999999999999,0.0,0.0,0.0,0.0
CD_EL_1,1,0.609414079,0.0,0.267919274,0.0,0.0,0.0,0.0
CD_EL_1,2,0.472173769,0.0,0.29979287,0.0,0.0,0.0,0.0
CD_EL_1,3,0.809227844,0.0,0.083872135,0.0,0.0,0.0,0.0
CD_EL_1,4,0.685163414,0.0,0.192936564,0.0,0.0,0.0,0.0
CD_EL_2,0,0.10999999999999999,0.0,0.10999999999999999,0.0,0.0,0.0,0.0
CD_EL_2,1,0.585529189,0.0,0.245004147,0.0,0.0,0.0,0.0
CD_EL_2,2,0.371100541,0.0,0.183766133,0.0,0.0,0.0,0.0
CD_EL_2,3,0.956949356,0.0,0.17895062,0.0,0.0,0.0,0.0
CD_EL_3,0,0.10999999999999999,0.0,0.10999999999999999,0.0,0.0,0.0,0.0
CD_EL_3,1,0.583570142,0.0,0.275163164,0.0,0.0,0.0,0.0
CD_EL_3,2,0.481595799,0.0,0.253170913,0.0,0.0,0.0,0.0
CD_EL_3,3,0.738598,0.0,0.236702029,0.0,0.0,0.0,0.0
CD_EL_3,4,0.739273129,0.0,0.1506269,0.0,0.0,0.0,0.0
CD_EL_3,5,0.58910865,0.0,0.262558009,0.0,0.0,0.0,0.0
CD_EL_3,6,0.538992529,0.0,0.266707497,0.0,0.0,0.0,0.0
CD_EL_3,7,0.703632075,0.0,0.181434568,0.0,0.0,0.0,0.0
CD_PV_1,0,0.10999999999999999,0.0,0.0,0.0,0.0,0.10999999999999999,0.0
CD_PV_1,1,0.238217989,0.0,0.0,0.0,0.0,1.031715364,0.0
CD_PV_1,2,0.672615819,0.0,0.0,0.0,0.0,0.563150892,0.0
CD_PV_1,3,0.327105539,0.0,0.0,0.0,0.0,0.886894403,0.0
CD_PV_1,4,0.306065707,0.0,0.0,0.0,0.0,1.031334253,0.0
CD_PV_1,5,0.349565903,0.0,0.0,0.0,0.0,0.856400719,0.0
CD_PV_1,6,0.355364154,0.0,0.0,0.0,0.0,0.847135794,0.0
CD_PV_1,7,0.392500201,0.0,0.0,0.0,0.0,0.822566426,0.0
CD_PV_1,8,0.190161195,0.0,0.0,0.0,0.0,1.07317219,0.0
CD_PV_2,0,0.10999999999999999,0.0,0.0,0.0,0.0,0.10999999999999999,0.0
