Param name,Param value,Param stdv,Param p-value
BT*CA*BU,0.026481643,0.3299131,0.9360236793044358
BT*CA*CD,-0.25640792,0.77260584,0.7399842814613073
BT*CA*BV,-0.06279247,1.0858183,0.9538843336667576
BT*CA*CS,0.009428866,0.9796056,0.9923203474531401
BT*CA*DP,-0.12685469,0.9878328,0.8978188486394092
BT*CA*CH,0.045516655,1.1027062,0.9670748885645161
BT*BU*CD,-0.045443494,0.20079972,0.8209583513055771
BT*BU*BV,-1.306826,0.3932815,0.0008909421232237718
BT*BU*CS,0.0072852387,0.99936694,0.9941835900274768
BT*BU*DP,-0.01039912,0.41397956,0.9799593371241841
BT*BU*CH,0.0761856,0.77683246,0.9218750324626757
BT*CD*BV,-0.11415404,0.68222135,0.8671127710828508
BT*CD*CS,0.029669244,1.0757955,0.9779980213135057
BT*CD*DP,-0.07137934,0.892526,0.9362575174193182
BT*CD*CH,-0.13365367,1.115068,0.9045928997098029
BT*BV*CS,0.01793274,0.94209737,0.9848132555413076
BT*BV*DP,0.13213909,0.8302465,0.8735456091042948
BT*BV*CH,0.021116799,0.9410395,0.9820970818481511
BT*CS*DP,-0.012304888,1.0094,0.9902737894415702
BT*CS*CH,0.016431762,1.0011508,0.9869050101068904
BT*DP*CH,0.033853386,0.9495813,0.9715607591855911
BU*CA*BT,0.9939905,0.73349684,0.17537315576461587
BU*CA*CD,-0.0013752764,0.13935609,0.9921259708362498
BU*CA*BV,-0.052600652,0.41173202,0.8983431922102676
BU*CA*CS,-0.014444057,0.94168997,0.9877621735743574
BU*CA*DP,5.5766306,3.7488453,0.13686708580130266
BU*CA*CH,7.9089484,5.4204774,0.14454115990199218
BU*BT*CD,0.19192386,0.22103487,0.3852319050371711
BU*BT*BV,0.46751332,0.32437593,0.14950838729570234
BU*BT*CS,0.0027259965,0.9132941,0.9976184809287423
BU*BT*DP,-0.01580118,0.16301897,0.9227831936750891
BU*BT*CH,-0.14150476,0.9967415,0.8871057786797724
BU*CD*BV,-0.0013200489,0.050972864,0.9793394201125298
BU*CD*CS,-0.029057594,1.012358,0.9771015554896174
BU*CD*DP,0.04670754,0.22798489,0.8376727511703479
BU*CD*CH,0.033589553,0.520156,0.9485116593163482
