Treatments,Time,CA,BT,BU,CD,BV,CS,DP,CH
CDevo-CS-CH-DP_1,24,0.0,0.0,0.0,0.354918382,0.0,0.013644766,0.277117472,0.040419401
CDevo-CS-CH-DP_2,0,0.0,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0025
CDevo-CS-CH-DP_2,12,0.0,0.0,0.0,0.386813817,0.0,0.033489355,0.171446676,0.033450141
CDevo-CS-CH-DP_2,24,0.0,0.0,0.0,0.394005547,0.0,0.012769431,0.258765663,0.033559331
CDevo-CS-CH-DP_3,0,0.0,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0025
CDevo-CS-CH-DP_3,12,0.0,0.0,0.0,0.378730989,0.0,0.032308117,0.201871277,0.037789606
CDevo-CS-CH-DP_3,24,0.0,0.0,0.0,0.36686385,0.0,0.011685185,0.276658589,0.035492385
CDevo-CS-DP-BT-BV-CA_1,0,0.001666667,0.001666667,0.0,0.001666667,0.001666667,0.001666667,0.001666667,0.0
CDevo-CS-DP-BT-BV-CA_1,12,0.019057434,1.063292705,0.0,0.017656152,0.072399565,0.007193247,0.015600938,0.0
CDevo-CS-DP-BT-BV-CA_1,24,0.014908265,1.01044908,0.0,0.034033009,0.101044908,0.005722364,0.010842375,0.0
CDevo-CS-DP-BT-BV-CA_2,0,0.001666667,0.001666667,0.0,0.001666667,0.001666667,0.001666667,0.001666667,0.0
CDevo-CS-DP-BT-BV-CA_2,12,0.018023672,1.067071376,0.0,0.015223878,0.065970139,0.006037055,0.014873904,0.0
CDevo-CS-DP-BT-BV-CA_2,24,0.025275581,1.070976914,0.0,0.030330697,0.052269901,0.006874958,0.015771962,0.0
CDevo-CS-DP-BT-BV-CA_3,0,0.001666667,0.001666667,0.0,0.001666667,0.001666667,0.001666667,0.001666667,0.0
CDevo-CS-DP-BT-BV-CA_3,12,0.021638035,1.082133152,0.0,0.015968175,0.067806889,0.005669859,0.016083887,0.0
CDevo-CS-DP-BT-BV-CA_3,24,0.023295857,1.055302337,0.0,0.026974151,0.057381375,0.006498318,0.011647929,0.0
CDevo-CS-DP-BT_1,0,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0025,0.0
CDevo-CS-DP-BT_1,12,0.0,1.134631277,0.0,0.024319676,0.0,0.004627195,0.011621792,0.0
CDevo-CS-DP-BT_1,24,0.0,1.127999003,0.0,0.035511514,0.0,0.008682331,0.011107126,0.0
CDevo-CS-DP-BT_2,0,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0025,0.0
CDevo-CS-DP-BT_2,12,0.0,1.132311639,0.0,0.024507219,0.0,0.005174831,0.008006343,0.0
CDevo-CS-DP-BT_2,24,0.0,1.116266951,0.0,0.036306181,0.0,0.008378349,0.014048545,0.0
CDevo-CS-DP-BT_3,0,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0025,0.0
CDevo-CS-DP-BT_3,12,0.0,1.135994757,0.0,0.020899764,0.0,0.004761972,0.011243544,0.0
CDevo-CS-DP-BT_3,24,0.0,1.096624081,0.0,0.034595134,0.0,0.005210111,0.011670648,0.0
