Time,Sample,Replicate,CD,DP,CA,PC,CS,CH,BU,BT,PV,EL
35,CD_BT_PV,2,0,0,0,0,0,0,0,1.066533282,0,0
35,CD_BT_PV,3,0.000185547,0,0,0,0,0,0,0.962247746,0,0
0,CD_BU,1,0.00275,0,0,0,0,0,0.00275,0,0,0
0,CD_BU,2,0.00275,0,0,0,0,0,0.00275,0,0,0
0,CD_BU,3,0.00275,0,0,0,0,0,0.00275,0,0,0
1,CD_BU,1,0.468930551,0,0,0,0,0,0.646636135,0,0,0
1,CD_BU,2,0.490802206,0,0,0,0,0,0.62536446,0,0,0
1,CD_BU,3,0.511428257,0,0,0,0,0,0.618738467,0,0,0
7,CD_BU,1,0.368994024,0,0,0,0,0,0.095372655,0,0,0
7,CD_BU,2,0.407171476,0,0,0,0,0,0.074995177,0,0,0
7,CD_BU,3,0.380714026,0,0,0,0,0,0.089252629,0,0,0
14,CD_BU,1,0.534412791,0,0,0,0,0,0.115120542,0,0,0
14,CD_BU,2,0.519135601,0,0,0,0,0,0.102697732,0,0,0
14,CD_BU,3,0.50108973,0,0,0,0,0,0.109643603,0,0,0
21,CD_BU,1,0.558408976,0,0,0,0,0,0.290991024,0,0,0
21,CD_BU,2,0.575192715,0,0,0,0,0,0.271807285,0,0,0
21,CD_BU,3,0.58627034,0,0,0,0,0,0.29792966,0,0,0
28,CD_BU,1,0.381896518,0,0,0,0,0,0.301803472,0,0,0
28,CD_BU,2,0.369348396,0,0,0,0,0,0.301251626,0,0,0
28,CD_BU,3,0.44791474,0,0,0,0,0,0.251085286,0,0,0
35,CD_BU,1,0.422872974,0,0,0,0,0,0.17516035,0,0,0
35,CD_BU,2,0.342751375,0,0,0,0,0,0.298781955,0,0,0
35,CD_BU,3,0.356416267,0,0,0,0,0,0.259317073,0,0,0
0,CD_BU_BT,1,0.001833333,0,0,0,0,0,0.001833333,0.001833333,0,0
0,CD_BU_BT,2,0.001833333,0,0,0,0,0,0.001833333,0.001833333,0,0
0,CD_BU_BT,3,0.001833333,0,0,0,0,0,0.001833333,0.001833333,0,0
1,CD_BU_BT,1,0.165784328,0,0,0,0,0,0.197929414,0.888152912,0,0
1,CD_BU_BT,2,0.197393356,0,0,0,0,0,0.199176399,0.850196887,0,0
1,CD_BU_BT,3,0.191067999,0,0,0,0,0,0.197022832,0.852875802,0,0
7,CD_BU_BT,1,0.000165964,0,0,0,0,0,0.001541099,0.887459595,0,0
7,CD_BU_BT,2,0.000187597,0,0,0,0,0,0.001563309,0.888115749,0,0
7,CD_BU_BT,3,0.000183707,0,0,0,0,0,0.001506399,0.87297659,0,0
14,CD_BU_BT,1,0.000145953,0,0,0,0,0,0.000145953,1.204841427,0,0
14,CD_BU_BT,2,0.000226979,0,0,0,0,0,0,1.222506355,0,0
14,CD_BU_BT,3,0.000193498,0,0,0,0,0,0.000193498,1.165246337,0,0
21,CD_BU_BT,1,0,0,0,0,0,0,0.000163785,1.263436215,0,0
21,CD_BU_BT,2,0.000320815,0,0,0,0,0,0.001283258,1.384795927,0,0
21,CD_BU_BT,3,0.000183593,0,0,0,0,0,0.000367187,1.20014922,0,0
28,CD_BU_BT,1,0.008864111,0,0,0,0,0,0.002332661,1.029403254,0,0
28,CD_BU_BT,2,0.000624303,0,0,0,0,0,0.106755736,1.056319911,0,0
28,CD_BU_BT,3,0.000232024,0,0,0,0,0,0.001392142,0.978675868,0,0
35,CD_BU_BT,1,0.000167439,0,0,0,0,0,0.030976181,1.074789763,0,0
35,CD_BU_BT,2,0,0,0,0,0,0,0.057423197,1.020610086,0,0
0,CD_BU_EL,1,0.001833333,0,0,0,0,0,0.001833333,0,0,0.001833333
0,CD_BU_EL,2,0.001833333,0,0,0,0,0,0.001833333,0,0,0.001833333
0,CD_BU_EL,3,0.001833333,0,0,0,0,0,0.001833333,0,0,0.001833333
1,CD_BU_EL,1,0.330582758,0,0,0,0,0,0.729415419,0,0,0.087068491
1,CD_BU_EL,2,0.333559877,0,0,0,0,0,0.720828547,0,0,0.124378259
1,CD_BU_EL,3,0.333177955,0,0,0,0,0,0.714624101,0,0,0.126564612
7,CD_BU_EL,1,0.278244731,0,0,0,0,0,0.566303722,0,0,0.08571817
7,CD_BU_EL,2,0.094507366,0,0,0,0,0,0.835152909,0,0,0.071406415
7,CD_BU_EL,3,0.134558015,0,0,0,0,0,0.752646464,0,0,0.087762171
14,CD_BU_EL,1,0.245571209,0,0,0,0,0,0.736913441,0,0,0.269748684
14,CD_BU_EL,2,0.33084867,0,0,0,0,0,0.853668398,0,0,0.190116265
14,CD_BU_EL,3,0.269178006,0,0,0,0,0,0.905750715,0,0,0.178304613
21,CD_BU_EL,1,0.224288823,0,0,0,0,0,1.093192683,0,0,0.142118494
21,CD_BU_EL,2,0.124611622,0,0,0,0,0,1.18271972,0,0,0.112068658
21,CD_BU_EL,3,0.22403964,0,0,0,0,0,1.036700493,0,0,0.138159867
28,CD_BU_EL,1,0.239990674,0,0,0,0,0,0.918552542,0,0,0.101956822
28,CD_BU_EL,2,0.094174237,0,0,0,0,0,0.956909853,0,0,0.129715956
28,CD_BU_EL,3,0.153028851,0,0,0,0,0,0.682891247,0,0,0.357279859
35,CD_BU_EL,1,0.249730647,0,0,0,0,0,0.685658453,0,0,0.28684427
35,CD_BU_EL,2,0.240763148,0,0,0,0,0,0.612829828,0,0,0.336540313
35,CD_BU_EL,3,0.263773668,0,0,0,0,0,0.679153585,0,0,0.266106072
0,CD_BU_PV,1,0.001833333,0,0,0,0,0,0.001833333,0,0.001833333,0
0,CD_BU_PV,2,0.001833333,0,0,0,0,0,0.001833333,0,0.001833333,0
0,CD_BU_PV,3,0.001833333,0,0,0,0,0,0.001833333,0,0.001833333,0
1,CD_BU_PV,1,0.496214922,0,0,0,0,0,0.31113887,0,0.544912833,0
1,CD_BU_PV,2,0.484651239,0,0,0,0,0,0.29174104,0,0.558774369,0
1,CD_BU_PV,3,0.412735458,0,0,0,0,0,0.282529228,0,0.634402003,0
7,CD_BU_PV,1,0.03653856,0,0,0,0,0,0.922673996,0,0.089454165,0
7,CD_BU_PV,2,0.015596997,0,0,0,0,0,0.90008098,0,0.134588652,0
7,CD_BU_PV,3,0.024236605,0,0,0,0,0,0.910833343,0,0.091796731,0
14,CD_BU_PV,2,0.000195671,0,0,0,0,0,1.218248898,0,0.018588764,0
14,CD_BU_PV,3,0.589936464,0,0,0,0,0,0.532520187,0,0.044376682,0
21,CD_BU_PV,1,0,0,0,0,0,0,1.088541869,0,0.033558131,0
21,CD_BU_PV,2,0.000364006,0,0,0,0,0,1.236347261,0,0.042588732,0
21,CD_BU_PV,3,0.000565794,0,0,0,0,0,1.30283405,0,0.021500157,0
28,CD_BU_PV,2,0.000244251,0,0,0,0,0,1.02634143,0,0.010014279,0
28,CD_BU_PV,3,0,0,0,0,0,0,1.131089669,0,0.00531028,0
35,CD_BU_PV,2,0.0001304,0,0,0,0,0,0.93653543,0,0.090367454,0
0,CD_CA,1,0.00275,0,0.00275,0,0,0,0,0,0,0
0,CD_CA,2,0.00275,0,0.00275,0,0,0,0,0,0,0
0,CD_CA,3,0.00275,0,0.00275,0,0,0,0,0,0,0
1,CD_CA,1,0.289796675,0,0.039469977,0,0,0,0,0,0,0
1,CD_CA,2,0.375830443,0,0.064236208,0,0,0,0,0,0,0
1,CD_CA,3,0.844106304,0,0.160960404,0,0,0,0,0,0,0
7,CD_CA,1,0.29559044,0,0.045076217,0,0,0,0,0,0,0
7,CD_CA,3,0.291889351,0,0.0343773,0,0,0,0,0,0,0
14,CD_CA,1,0.428826273,0,0.07330706,0,0,0,0,0,0,0
