Time,Sample,Replicate,CD,CA,EL,DP,BU,PV,CDEVO
64,BU,3,0,0,0,0,0.659033363,0,0
1,PV,1,0,0,0,0,0,0.989233385,0
1,PV,2,0,0,0,0,0,0.958533297,0
1,PV,3,0,0,0,0,0,0.897633324,0
7,PV,1,0,0,0,0,0,1.138166609,0
7,PV,2,0,0,0,0,0,1.142766657,0
7,PV,3,0,0,0,0,0,1.132766667,0
14,PV,1,0,0,0,0,0,1.185000017,0
14,PV,2,0,0,0,0,0,1.194599941,0
14,PV,3,0,0,0,0,0,1.128599957,0
21,PV,1,0,0,0,0,0,1.288900018,0
21,PV,2,0,0,0,0,0,1.289399981,0
21,PV,3,0,0,0,0,0,1.280400038,0
28,PV,1,0,0,0,0,0,1.189666659,0
28,PV,2,0,0,0,0,0,1.141366631,0
28,PV,3,0,0,0,0,0,1.26546672,0
35,PV,1,0,0,0,0,0,1.183999978,0
35,PV,2,0,0,0,0,0,1.131499968,0
35,PV,3,0,0,0,0,0,1.174400054,0
49,PV,1,0,0,0,0,0,1.241766647,0
49,PV,2,0,0,0,0,0,1.254666641,0
49,PV,3,0,0,0,0,0,1.255466655,0
64,PV,1,0,0,0,0,0,1.242733305,0
64,PV,2,0,0,0,0,0,1.282733386,0
64,PV,3,0,0,0,0,0,1.253533309,0
1,CA,1,0,1.071033369,0,0,0,0,0
1,CA,2,0,1.073133359,0,0,0,0,0
1,CA,3,0,1.082533369,0,0,0,0,0
7,CA,1,0,0.964966717,0,0,0,0,0
7,CA,2,0,0.903066638,0,0,0,0,0
7,CA,3,0,0.879866662,0,0,0,0,0
14,CA,1,0,1.029399946,0,0,0,0,0
14,CA,2,0,1.019000009,0,0,0,0,0
14,CA,3,0,1.055700019,0,0,0,0,0
21,CA,1,0,1.170600057,0,0,0,0,0
21,CA,2,0,1.177800059,0,0,0,0,0
21,CA,3,0,1.333999991,0,0,0,0,0
28,CA,1,0,1.07676664,0,0,0,0,0
28,CA,2,0,1.103666693,0,0,0,0,0
28,CA,3,0,0.997666627,0,0,0,0,0
35,CA,1,0,1.033600055,0,0,0,0,0
35,CA,2,0,1.05379995,0,0,0,0,0
35,CA,3,0,1.002999984,0,0,0,0,0
49,CA,1,0,1.124166682,0,0,0,0,0
